year,name,fraction,,amount
1949,Coal ,0.002421608,,11.980905
1949,Petroleum,0.002401763,,11.882722
1949,Natural Gas ,0.001039948,,5.145142
1949,Renewable Energy,0.000601108,,2.973984
1949,Nuclear Electric Power,0,,0
1950,Petroleum,0.002691356,,13.315484
1950,Coal ,0.002495626,,12.347109
1950,Natural Gas ,0.001206341,,5.968371
1950,Renewable Energy,0.000601863,,2.977718
1950,Nuclear Electric Power,0,,0
1951,Petroleum,0.002916229,,14.428043
1951,Coal ,0.00253724,,12.552996
1951,Natural Gas ,0.001424663,,7.048518
1951,Renewable Energy,0.000597972,,2.958464
1951,Nuclear Electric Power,0,,0
1952,Petroleum,0.003022877,,14.955682
1952,Coal ,0.002285291,,11.306479
1952,Natural Gas ,0.001525947,,7.549621
1952,Renewable Energy,0.000594276,,2.940181
1952,Nuclear Electric Power,0,,0
1953,Petroleum,0.00314418,,15.555829
1953,Coal ,0.002298673,,11.372684
1953,Natural Gas ,0.001598109,,7.906645
1953,Renewable Energy,0.000572301,,2.83146
1953,Nuclear Electric Power,0,,0
1954,Petroleum,0.00320145,,15.839176
1954,Coal ,0.001963551,,9.714667
1954,Natural Gas ,0.001683719,,8.330202
1954,Renewable Energy,0.000556665,,2.754099
1954,Nuclear Electric Power,0,,0
1955,Petroleum,0.003487611,,17.254955
1955,Coal ,0.002257152,,11.167259
1955,Natural Gas ,0.001818683,,8.997935
1955,Renewable Energy,0.000562706,,2.783987
1955,Nuclear Electric Power,0,,0
1956,Petroleum,0.003625563,,17.937473
1956,Coal ,0.002294032,,11.349723
1956,Natural Gas ,0.001943199,,9.613975
1956,Renewable Energy,0.000576166,,2.850582
1956,Nuclear Electric Power,0,,0
1957,Petroleum,0.003624389,,17.931667
1957,Coal ,0.002187091,,10.820631
1957,Natural Gas ,0.002059778,,10.190753
1957,Renewable Energy,0.000575886,,2.849194
1957,Nuclear Electric Power,2.26377E-08,,0.000112
1958,Petroleum,0.003744707,,18.526937
1958,Natural Gas ,0.00215527,,10.663199
1958,Coal ,0.00192689,,9.533287
1958,Renewable Energy,0.000589205,,2.91509
1958,Nuclear Electric Power,3.87064E-07,,0.001915
1959,Petroleum,0.003905538,,19.32265
1959,Natural Gas ,0.002368352,,11.717422
1959,Coal ,0.001923871,,9.518353
1959,Renewable Energy,0.000586425,,2.901339
1959,Nuclear Electric Power,4.42041E-07,,0.002187
1960,Petroleum,0.00402612,,19.91923
1960,Natural Gas ,0.002503358,,12.385366
1960,Coal ,0.001988436,,9.837785
1960,Renewable Energy,0.000591855,,2.928204
1960,Nuclear Electric Power,1.21799E-06,,0.006026
1961,Petroleum,0.004086182,,20.216387
1961,Natural Gas ,0.002612712,,12.926392
1961,Coal ,0.001945094,,9.623351
1961,Renewable Energy,0.000596711,,2.952226
1961,Nuclear Electric Power,3.97736E-06,,0.019678
1962,Petroleum,0.004254468,,21.048981
1962,Natural Gas ,0.002775309,,13.730841
1962,Coal ,0.002002315,,9.906454
1962,Renewable Energy,0.000630105,,3.117444
1962,Nuclear Electric Power,5.33482E-06,,0.026394
1963,Petroleum,0.004386221,,21.700828
1963,Natural Gas ,0.002911229,,14.403306
1963,Coal ,0.002104606,,10.412538
1963,Renewable Energy,0.000625858,,3.096431
1963,Nuclear Electric Power,7.71036E-06,,0.038147
1964,Petroleum,0.004507581,,22.301257
1964,Natural Gas ,0.003090015,,15.28785
1964,Coal ,0.002216147,,10.964385
1964,Renewable Energy,0.000651894,,3.225248
1964,Nuclear Electric Power,8.04831E-06,,0.039819
1965,Petroleum,0.00469847,,23.24568
1965,Natural Gas ,0.003187199,,15.768667
1965,Coal ,0.002340699,,11.580608
1965,Renewable Energy,0.00068637,,3.395816
1965,Nuclear Electric Power,8.72441E-06,,0.043164
1966,Petroleum,0.004931889,,24.400523
1966,Natural Gas ,0.003435135,,16.995332
1966,Coal ,0.002454387,,12.14308
1966,Renewable Energy,0.000693777,,3.432462
1966,Nuclear Electric Power,1.29678E-05,,0.064158
1967,Petroleum,0.005110391,,25.283661
1967,Natural Gas ,0.003627042,,17.944788
1967,Coal ,0.002408034,,11.91375
1967,Renewable Energy,0.000745874,,3.690213
1967,Nuclear Electric Power,1.78789E-05,,0.088456
1968,Petroleum,0.005453147,,26.979447
1968,Natural Gas ,0.0038827,,19.209656
1968,Coal ,0.002492305,,12.330677
1968,Renewable Energy,0.000762538,,3.772656
1968,Nuclear Electric Power,2.86072E-05,,0.141534
1969,Petroleum,0.005727809,,28.338336
1969,Natural Gas ,0.004179481,,20.677984
1969,Coal ,0.002502585,,12.38154
1969,Renewable Energy,0.000827669,,4.094892
1969,Nuclear Electric Power,3.10706E-05,,0.153722
1970,Petroleum,0.00596679,,29.520695
1970,Natural Gas ,0.004405196,,21.794707
1970,Coal ,0.002478934,,12.264528
1970,Renewable Energy,0.000822642,,4.070021
1970,Nuclear Electric Power,4.83774E-05,,0.239347
1971,Petroleum,0.006177118,,30.56129
1971,Natural Gas ,0.004541496,,22.469052
1971,Coal ,0.002344297,,11.598411
1971,Renewable Energy,0.000861488,,4.262213
1971,Nuclear Electric Power,8.34642E-05,,0.412939
1972,Petroleum,0.00665927,,32.946738
1972,Natural Gas ,0.00458781,,22.69819
1972,Coal ,0.002441014,,12.076917
1972,Renewable Energy,0.000885702,,4.382009
1972,Nuclear Electric Power,0.000117989,,0.583752
1973,Petroleum,0.007041422,,34.837435
1973,Natural Gas ,0.004550258,,22.512399
1973,Coal ,0.002621827,,12.97149
1973,Renewable Energy,0.000891549,,4.410938
1973,Nuclear Electric Power,0.000183967,,0.910177
1974,Petroleum,0.00676173,,33.45366
1974,Natural Gas ,0.00439262,,21.732488
1974,Coal ,0.00255945,,12.662878
1974,Renewable Energy,0.000958434,,4.741852
1974,Nuclear Electric Power,0.000257116,,1.272083
1975,Petroleum,0.006615932,,32.732323
1975,Natural Gas ,0.004031912,,19.947883
1975,Coal ,0.002559431,,12.662786
1975,Renewable Energy,0.000947371,,4.68712
1975,Nuclear Electric Power,0.000383992,,1.899798
1976,Petroleum,0.007110214,,35.177782
1976,Natural Gas ,0.004112264,,20.345426
1976,Coal ,0.002745643,,13.584067
1976,Renewable Energy,0.000955463,,4.727151
1976,Nuclear Electric Power,0.000426705,,2.111121
1977,Petroleum,0.007503584,,37.12398
1977,Natural Gas ,0.004028401,,19.930513
1977,Coal ,0.002813967,,13.922103
1977,Renewable Energy,0.000850726,,4.208966
1977,Nuclear Electric Power,0.000546086,,2.701762
1978,Petroleum,0.007673132,,37.962821
1978,Natural Gas ,0.004042527,,20.0004
1978,Coal ,0.002782329,,13.765575
1978,Renewable Energy,0.001011711,,5.00544
1978,Nuclear Electric Power,0.000611243,,3.024126
1979,Petroleum,0.007503239,,37.122274
1979,Natural Gas ,0.004177022,,20.665817
1979,Coal ,0.003039835,,15.039586
1979,Renewable Energy,0.001035443,,5.122854
1979,Nuclear Electric Power,0.000561056,,2.775827
1980,Petroleum,0.006913496,,34.20452
1980,Natural Gas ,0.004090037,,20.235459
1980,Coal ,0.003117293,,15.422809
1980,Renewable Energy,0.001097189,,5.428342
1980,Nuclear Electric Power,0.000553647,,2.739169
1981,Petroleum,0.00645421,,31.932206
1981,Natural Gas ,0.003991371,,19.74731
1981,Coal ,0.003215265,,15.907526
1981,Renewable Energy,0.001094227,,5.413688
1981,Nuclear Electric Power,0.000607901,,3.007589
1982,Petroleum,0.006110607,,30.232226
1982,Natural Gas ,0.003710202,,18.356222
1982,Coal ,0.003096833,,15.321581
1982,Renewable Energy,0.001208618,,5.979637
1982,Nuclear Electric Power,0.000632875,,3.131148
1983,Petroleum,0.006074223,,30.052216
1983,Natural Gas ,0.003480715,,17.220836
1983,Coal ,0.003212621,,15.894442
1983,Renewable Energy,0.001312908,,6.495612
1983,Nuclear Electric Power,0.000647307,,3.202549
1984,Petroleum,0.006276551,,31.053237
1984,Natural Gas ,0.003717759,,18.393613
1984,Coal ,0.003450353,,17.070622
1984,Renewable Energy,0.001301236,,6.437864
1984,Nuclear Electric Power,0.000718046,,3.552531
1985,Petroleum,0.006250577,,30.924732
1985,Natural Gas ,0.003578268,,17.703482
1985,Coal ,0.00353278,,17.478428
1985,Renewable Energy,0.001229715,,6.084017
1985,Nuclear Electric Power,0.000823762,,4.075563
1986,Petroleum,0.006507986,,32.19826
1986,Coal ,0.003488712,,17.260405
1986,Natural Gas ,0.003353484,,16.591364
1986,Renewable Energy,0.001235198,,6.11114
1986,Nuclear Electric Power,0.000885318,,4.380109
1987,Petroleum,0.006642493,,32.863733
1987,Coal ,0.003639909,,18.008451
1987,Natural Gas ,0.003565397,,17.639801
1987,Renewable Energy,0.001136292,,5.621807
1987,Nuclear Electric Power,0.000960876,,4.753933
1988,Petroleum,0.006917189,,34.222795
1988,Coal ,0.00380926,,18.846312
1988,Natural Gas ,0.003728831,,18.448393
1988,Nuclear Electric Power,0.001129251,,5.586968
1988,Renewable Energy,0.001102932,,5.456754
1989,Petroleum,0.006914461,,34.209296
1989,Natural Gas ,0.003961939,,19.601693
1989,Coal ,0.003854424,,19.069762
1989,Renewable Energy,0.001260152,,6.234601
1989,Nuclear Electric Power,0.001132322,,5.602161
1990,Petroleum,0.006781531,,33.551623
1990,Natural Gas ,0.003962237,,19.603167
1990,Coal ,0.003875217,,19.172635
1990,Nuclear Electric Power,0.001233825,,6.10435
1990,Renewable Energy,0.001220811,,6.03996
1991,Petroleum,0.006638915,,32.846032
1991,Natural Gas ,0.004049107,,20.032958
1991,Coal ,0.00383864,,18.99167
1991,Nuclear Electric Power,0.001298056,,6.422132
1991,Renewable Energy,0.00122642,,6.067713
1992,Petroleum,0.006776141,,33.524957
1992,Natural Gas ,0.004186687,,20.713632
1992,Coal ,0.003865078,,19.122471
1992,Nuclear Electric Power,0.001309592,,6.479206
1992,Renewable Energy,0.001176448,,5.820478
1993,Petroleum,0.006808942,,33.68724
1993,Natural Gas ,0.004290834,,21.228902
1993,Coal ,0.004009125,,19.835148
1993,Nuclear Electric Power,0.001295705,,6.410499
1993,Renewable Energy,0.001229217,,6.081549
1994,Petroleum,0.00698485,,34.557545
1994,Natural Gas ,0.004391727,,21.728067
1994,Coal ,0.004024146,,19.909463
1994,Nuclear Electric Power,0.001352982,,6.693877
1994,Renewable Energy,0.001210115,,5.987046
1995,Petroleum,0.006961303,,34.441046
1995,Natural Gas ,0.004582342,,22.671139
1995,Coal ,0.004060379,,20.088727
1995,Nuclear Electric Power,0.001430103,,7.075436
1995,Renewable Energy,0.001325772,,6.559259
1996,Petroleum,0.007210706,,35.674967
1996,Natural Gas ,0.004665922,,23.084647
1996,Coal ,0.004244955,,21.001914
1996,Nuclear Electric Power,0.001432375,,7.086674
1996,Renewable Energy,0.001417336,,7.012268
1997,Petroleum,0.007308435,,36.15848
1997,Natural Gas ,0.004693828,,23.222716
1997,Coal ,0.004334595,,21.445411
1997,Renewable Energy,0.001417682,,7.013983
1997,Nuclear Electric Power,0.001333399,,6.596992
1998,Petroleum,0.007441611,,36.817372
1998,Natural Gas ,0.004614497,,22.830226
1998,Coal ,0.004377108,,21.655744
1998,Nuclear Electric Power,0.001428562,,7.067809
1998,Renewable Energy,0.001312004,,6.491138
1999,Petroleum,0.007647506,,37.836036
1999,Natural Gas ,0.004630465,,22.909227
1999,Coal ,0.004370398,,21.622544
1999,Nuclear Electric Power,0.001538202,,7.610256
1999,Renewable Energy,0.001316536,,6.513563
2000,Petroleum,0.007734398,,38.265934
2000,Natural Gas ,0.004815357,,23.823977
2000,Coal ,0.004563826,,22.579528
2000,Nuclear Electric Power,0.001589156,,7.862349
2000,Renewable Energy,0.00123376,,6.104026
2001,Petroleum,0.00771898,,38.189656
2001,Natural Gas ,0.004602841,,22.772558
2001,Coal ,0.004429362,,21.914268
2001,Nuclear Electric Power,0.00162281,,8.028853
2001,Renewable Energy,0.001042893,,5.159712
2002,Petroleum,0.007726239,,38.225566
2002,Natural Gas ,0.004751911,,23.510081
2002,Coal ,0.004427284,,21.903989
2002,Nuclear Electric Power,0.001646373,,8.145429
2002,Renewable Energy,0.001157316,,5.725819
2003,Petroleum,0.007840283,,38.789798
2003,Natural Gas ,0.004614582,,22.830642
2003,Coal ,0.004511557,,22.320928
2003,Nuclear Electric Power,0.001608817,,7.959622
2003,Renewable Energy,0.001201377,,5.943815
2004,Petroleum,0.008130706,,40.226667
2004,Natural Gas ,0.004633261,,22.923061
2004,Coal ,0.004540919,,22.466195
2004,Nuclear Electric Power,0.001662006,,8.222774
2004,Renewable Energy,0.001227752,,6.074303
2005,Petroleum,0.008146101,,40.302834
2005,Coal ,0.004607689,,22.796543
2005,Natural Gas ,0.004560963,,22.565364
2005,Nuclear Electric Power,0.001649482,,8.16081
2005,Renewable Energy,0.001259813,,6.232923
2006,Petroleum,0.008049244,,39.823636
2006,Coal ,0.004537071,,22.44716
2006,Natural Gas ,0.004494945,,22.238738
2006,Nuclear Electric Power,0.001660359,,8.214626
2006,Renewable Energy,0.001341274,,6.635952
2007,Petroleum,0.007981967,,39.490782
2007,Natural Gas ,0.004782771,,23.662759
2007,Coal ,0.004598174,,22.749466
2007,Nuclear Electric Power,0.001709669,,8.458589
2007,Renewable Energy,0.001318205,,6.521821
2008,Petroleum,0.007459691,,36.90682
2008,Natural Gas ,0.004819192,,23.842953
2008,Coal ,0.004525,,22.387437
2008,Nuclear Electric Power,0.001703182,,8.426491
2008,Renewable Energy,0.001449747,,7.172624
2009,Petroleum,0.007066003,,34.95905
2009,Natural Gas ,0.004732883,,23.41594
2009,Coal ,0.003980031,,19.691205
2009,Nuclear Electric Power,0.001688776,,8.35522
2009,Renewable Energy,0.001536452,,7.601596
2010,Petroleum,0.00717307,,35.488766
2010,Natural Gas ,0.004967105,,24.574754
2010,Coal ,0.004211009,,20.833968
2010,Nuclear Electric Power,0.001704787,,8.434433
2010,Renewable Energy,0.00162235,,8.026577
2011,Petroleum,0.007038607,,34.823508
2011,Natural Gas ,0.005043868,,24.954539
2011,Coal ,0.003973276,,19.657784
2011,Renewable Energy,0.001817794,,8.993537
2011,Nuclear Electric Power,0.001671288,,8.268698
2012,Petroleum,0.006875378,,34.015932
2012,Natural Gas ,0.005273084,,26.088582
2012,Coal ,0.003512528,,17.378234
2012,Renewable Energy,0.001757976,,8.697585
2012,Nuclear Electric Power,0.001629474,,8.061822
2013,Petroleum,0.00699517,,34.608605
2013,Natural Gas ,0.005417915,,26.805134
2013,Coal ,0.00364601,,18.038633
2013,Renewable Energy,0.001872397,,9.263683
2013,Nuclear Electric Power,0.001666384,,8.244433
2014,Petroleum,0.007050248,,34.881101
2014,Natural Gas ,0.005534689,,27.382872
2014,Coal ,0.003637722,,17.997632
2014,Renewable Energy,0.001928672,,9.542104
2014,Nuclear Electric Power,0.001685206,,8.337559
2015,Petroleum,0.007193995,,35.592292
2015,Natural Gas ,0.0056891,,28.146824
2015,Coal ,0.00314725,,15.571021
2015,Renewable Energy,0.001931972,,9.558433
2015,Nuclear Electric Power,0.001685231,,8.33768
,,,,4947.450308